GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
128,21900900,1610612747,201980,G,,22:45,4,9,444,2,6,333,0,0,0,0,3,3,1,1,0,1,3,10,0
129,21900900,1610612747,202340,G,,24:55,3,8,375,2,4,1,2,2,1,1,1,2,3,1,1,0,1,10,5
130,21900900,1610612747,203484,,,31:16,5,11,455,1,5,0,2,2,1,0,0,0,2,3,1,1,1,13,9
131,21900900,1610612747,2730,,,22:01,4,6,667,0,0,0,0,0,0,2,4,6,1,0,1,1,5,8,8
132,21900900,1610612747,202693,,,14:36,4,8,1,2,4,1,0,0,0,0,4,4,1,1,0,0,4,10,-9
133,21900900,1610612747,200765,,,16:46,2,5,0,0,1,0,0,0,0,0,1,1,1,0,0,3,0,4,-5
134,21900900,1610612747,1626188,,,11:55,2,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,5,-7
135,21900900,1610612747,1627936,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,21900900,1610612747,203076,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,21900900,1610612747,201162,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,21900900,1610612740,1627742,F,,39:08,5,23,217,1,9,111,4,4,1,0,4,4,2,1,0,3,5,15,4
139,21900900,1610612740,1629627,F,,33:14,12,16,1,0,0,0,11,13,846,2,5,7,0,0,0,6,2,35,-10
140,21900900,1610612740,202324,C,,27:22,5,12,417,0,0,0,2,2,1,9,5,14,0,1,1,0,1,12,-8
141,21900900,1610612740,201950,G,,38:16,4,10,0,2,5,0,1,2,1,1,4,5,6,1,0,2,2,11,-7
142,21900900,1610612740,1628366,G,,37:30,7,15,467,1,7,143,4,6,667,0,9,9,9,3,1,3,0,19,-4
143,21900900,1610612740,1628404,,,21:56,3,5,1,1,3,333,0,0,0,2,4,6,3,0,0,1,1,7,-6
144,21900900,1610612740,1629740,,,20:38,2,8,0,1,7,143,5,6,833,0,2,2,0,1,1,0,0,10,0
145,21900900,1610612740,202734,,,16:27,2,4,1,1,1,1,0,0,0,0,3,3,3,0,0,0,0,5,-2
146,21900900,1610612740,1628402,,,5:29,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,-7
147,21900900,1610612740,1629638,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,21900900,1610612740,1629637,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,21900900,1610612740,1626143,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,21900900,1610612740,200755,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,21900901,1610612764,1629067,F,,21:27,2,4,1,2,3,667,0,0,0,0,1,1,1,0,1,1,4,6,15
152,21900901,1610612764,1629060,F,,29:47,4,8,1,1,2,1,6,7,857,1,7,8,1,0,0,1,1,15,12
153,21900901,1610612764,1628418,C,,15:23,5,6,833,1,1,1,1,1,1,1,1,2,0,1,2,1,0,12,13
154,21900901,1610612764,203078,G,,35:09,10,24,417,7,9,778,7,8,875,1,1,2,8,5,0,1,1,34,22
155,21900901,1610612764,203894,G,,25:12,3,5,1,1,1,1,2,2,1,0,3,3,5,3,0,2,1,9,16
156,21900901,1610612764,1629021,,,10:56,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,3,0,-3
