GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-02-05,21900756,Final,1610612738,1610612753,2019,116,535,688,565,23,41,1610612753,100,427,767,419,20,39,1
2020-02-05,21900757,Final,1610612751,1610612744,2019,129,0.51,867,412,29,65,1610612744,88,365,722,128,20,34,1
2020-02-05,21900758,Final,1610612761,1610612754,2019,119,0.5,875,375,27,37,1610612754,118,524,813,487,29,42,1
2020-02-05,21900759,Final,1610612750,1610612737,2019,120,495,0.75,257,18,33,1610612737,127,524,933,406,23,44,0
2020-02-05,21900760,Final,1610612760,1610612739,2019,109,469,0.8,346,21,40,1610612739,103,461,545,395,31,45,1
2020-02-05,21900761,Final,1610612742,1610612763,2019,107,362,917,395,19,42,1610612763,121,528,0.75,0.48,27,52,0
2020-02-05,21900762,Final,1610612762,1610612743,2019,95,419,643,359,20,46,1610612743,98,433,722,233,23,52,0
2020-02-05,21900763,Final,1610612746,1610612748,2019,128,506,737,444,35,51,1610612748,111,0.43,714,381,29,46,1
2020-02-04,21900751,Final,1610612740,1610612749,2019,108,384,0.75,286,26,49,1610612749,120,471,765,306,34,53,0
2020-02-04,21900752,Final,1610612745,1610612766,2019,125,443,826,333,25,41,1610612766,110,0.47,792,394,22,53,1
2020-02-04,21900753,Final,1610612743,1610612757,2019,127,511,0.72,0.5,30,50,1610612757,99,396,818,0.29,16,36,1
2020-02-04,21900754,Final,1610612747,1610612759,2019,129,588,0.68,429,28,58,1610612759,102,0.44,0.6,481,21,28,1
2020-02-03,21900741,Final,1610612766,1610612753,2019,100.0,461,643,0.29,24.0,46.0,1610612753,112.0,0.5379999999999999,588,0.47100000000000003,35.0,37.0,0
2020-02-03,21900742,Final,1610612739,1610612752,2019,134.0,565,667,514,34.0,34.0,1610612752,139.0,0.5589999999999999,0.7140000000000001,385,33.0,46.0,0
2020-02-03,21900743,Final,1610612754,1610612742,2019,103.0,0.45799999999999996,727,0.20600000000000002,28.0,40.0,1610612742,112.0,419,0.9570000000000001,0.4,20.0,51.0,0
2020-02-03,21900744,Final,1610612764,1610612744,2019,117.0,506,828,409,28.0,35.0,1610612744,125.0,494,774,0.5,31.0,44.0,0
2020-02-03,21900745,Final,1610612737,1610612738,2019,115.0,0.5,905,0.4,22.0,32.0,1610612738,123.0,0.5329999999999999,882,414,21.0,44.0,0
2020-02-03,21900746,Final,1610612751,1610612756,2019,119.0,483,857,441,28.0,44.0,1610612756,97.0,433,722,353,23.0,43.0,1
2020-02-03,21900747,Final,1610612748,1610612755,2019,137.0,565,833,0.5,27.0,35.0,1610612755,106.0,434,0.84,342,24.0,44.0,1
2020-02-03,21900748,Final,1610612763,1610612765,2019,96.0,467,833,0.11800000000000001,27.0,47.0,1610612765,82.0,0.34700000000000003,667,308,21.0,51.0,1
2020-02-03,21900749,Final,1610612758,1610612750,2019,113.0,507,742,519,26.0,34.0,1610612750,109.0,435,0.7859999999999999,342,25.0,45.0,1
2020-02-03,21900750,Final,1610612746,1610612759,2019,108.0,0.46399999999999997,792,0.40700000000000003,28.0,51.0,1610612759,105.0,0.42100000000000004,813,324,21.0,46.0,1
2020-02-02,21900737,Final,1610612765,1610612743,2019,128.0,511,0.75,452,33.0,43.0,1610612743,123.0,0.5,773,313,30.0,47.0,1
2020-02-02,21900738,Final,1610612745,1610612740,2019,117.0,0.39,0.8640000000000001,314,22.0,43.0,1610612740,109.0,447,0.75,303,21.0,63.0,1
2020-02-02,21900739,Final,1610612749,1610612756,2019,129.0,495,667,395,30.0,60.0,1610612756,108.0,0.39399999999999996,0.87,261,20.0,49.0,1
2020-02-02,21900740,Final,1610612761,1610612741,2019,129.0,0.56,826,0.47100000000000003,28.0,46.0,1610612741,102.0,389,654,313,25.0,41.0,1
2020-02-01,21900727,Final,1610612746,1610612750,2019,118.0,0.45899999999999996,889,353,20.0,50.0,1610612750,106.0,405,838,179,24.0,44.0,1
2020-02-01,21900728,Final,1610612754,1610612752,2019,85.0,0.42100000000000004,619,0.33299999999999996,21.0,34.0,1610612752,92.0,415,0.7390000000000001,0.26899999999999996,19.0,57.0,0
2020-02-01,21900729,Final,1610612753,1610612748,2019,89.0,0.39799999999999996,0.8240000000000001,273,21.0,39.0,1610612748,102.0,429,0.8079999999999999,455,24.0,48.0,0
2020-02-01,21900730,Final,1610612739,1610612744,2019,112.0,0.43200000000000005,1.0,364,26.0,46.0,1610612744,131.0,0.5329999999999999,895,514,39.0,44.0,0
2020-02-01,21900731,Final,1610612764,1610612751,2019,113.0,0.44,615,281,21.0,51.0,1610612751,107.0,415,619,0.34,25.0,53.0,1
2020-02-01,21900732,Final,1610612738,1610612755,2019,116.0,475,0.78,267,15.0,42.0,1610612755,95.0,369,0.8390000000000001,212,15.0,47.0,1
2020-02-01,21900733,Final,1610612742,1610612737,2019,123.0,0.46799999999999997,938,513,26.0,53.0,1610612737,100.0,0.40700000000000003,762,303,19.0,50.0,1
2020-02-01,21900734,Final,1610612759,1610612766,2019,114.0,517,667,0.35700000000000004,27.0,44.0,1610612766,90.0,0.42200000000000004,833,278,29.0,37.0,1
2020-02-01,21900736,Final,1610612758,1610612747,2019,113.0,429,0.8079999999999999,318,21.0,44.0,1610612747,129.0,512,815,442,33.0,46.0,0
2020-02-01,21900735,Final,1610612757,1610612762,2019,124.0,511,833,517,20.0,51.0,1610612762,107.0,426,1.0,439,19.0,37.0,1
2020-01-31,21900720,Final,1610612765,1610612761,2019,92.0,354,735,306,18.0,45.0,1610612761,105.0,518,727,0.33299999999999996,26.0,42.0,0
2020-01-31,21900721,Final,1610612751,1610612741,2019,133.0,625,0.72,484,31.0,37.0,1610612741,118.0,488,846,353,27.0,38.0,1
2020-01-31,21900722,Final,1610612745,1610612742,2019,128.0,0.45899999999999996,0.85,467,25.0,37.0,1610612742,121.0,478,778,389,29.0,52.0,1
2020-01-31,21900723,Final,1610612740,1610612763,2019,139.0,537,846,441,30.0,57.0,1610612763,111.0,469,0.5770000000000001,0.19399999999999998,17.0,34.0,1
2020-01-31,21900724,Final,1610612749,1610612743,2019,115.0,0.45299999999999996,654,0.3,29.0,46.0,1610612743,127.0,0.48,1.0,478,29.0,50.0,0
2020-01-31,21900725,Final,1610612756,1610612760,2019,107.0,474,897,375,20.0,40.0,1610612760,111.0,433,909,226,26.0,41.0,0
2020-01-31,21900726,Final,1610612747,1610612757,2019,119.0,469,643,344,28.0,62.0,1610612757,127.0,505,762,361,25.0,40.0,0
2020-01-30,21900714,Final,1610612739,1610612761,2019,109.0,467,857,361,23.0,52.0,1610612761,115.0,488,0.75,375,23.0,37.0,0
2020-01-30,21900715,Final,1610612764,1610612766,2019,121.0,0.47700000000000004,0.9259999999999999,0.37799999999999995,24.0,57.0,1610612766,107.0,434,632,0.3,32.0,38.0,1
2020-01-30,21900716,Final,1610612737,1610612755,2019,127.0,483,865,314,29.0,48.0,1610612755,117.0,0.46299999999999997,711,0.29,22.0,42.0,1
